amount,transaction_type,merchant_category,device_type,location,hour,customer_age,transaction_frequency,is_fraud
12525,POS,Food,Desktop,Chennai,12,22,25,0
22669,ATM,Luxury,Mobile,Delhi,9,66,15,0
24536,ATM,Travel,Desktop,Delhi,2,36,28,0
23104,POS,Food,Laptop,Bangalore,10,42,34,0
22968,Online,Electronics,Desktop,Delhi,20,55,5,0
10076,Online,Luxury,Laptop,Chennai,4,53,28,0
34064,POS,Luxury,Laptop,Hyderabad,17,51,38,0
48035,ATM,Grocery,Desktop,Mumbai,9,70,30,0
23083,ATM,Grocery,Laptop,Pune,12,47,40,0
23459,Online,Luxury,Laptop,Pune,0,51,24,0
26159,POS,Grocery,Laptop,Bangalore,13,50,26,0
3648,ATM,Luxury,Mobile,Delhi,17,55,47,0
13239,POS,Luxury,Mobile,Mumbai,7,25,4,0
14667,Online,Electronics,Desktop,Delhi,14,37,21,0
40821,Online,Food,Desktop,Bangalore,4,52,25,0
36545,ATM,Food,Laptop,Chennai,8,61,7,0
37838,ATM,Electronics,Desktop,Mumbai,3,69,30,0
25818,POS,Food,Mobile,Pune,4,53,39,0
9293,Online,Grocery,Desktop,Delhi,21,37,48,0
43510,Online,Electronics,Mobile,Hyderabad,5,29,15,0
15199,POS,Grocery,Mobile,Delhi,20,68,38,0
26736,POS,Grocery,Desktop,Chennai,17,39,26,0
29585,POS,Luxury,Desktop,Chennai,23,52,22,1
45434,Online,Travel,Laptop,Hyderabad,12,65,11,0
8387,Online,Food,Laptop,Hyderabad,2,68,39,0
32773,POS,Food,Laptop,Delhi,10,68,38,0
13742,Online,Grocery,Desktop,Mumbai,15,19,7,0
1287,POS,Grocery,Desktop,Hyderabad,18,22,23,0
48153,ATM,Travel,Laptop,Bangalore,7,28,24,0
8503,ATM,Grocery,Laptop,Hyderabad,23,49,14,0
39178,Online,Grocery,Desktop,Delhi,7,25,46,0
8876,Online,Travel,Desktop,Hyderabad,7,51,30,0
9135,Online,Food,Laptop,Bangalore,12,48,13,0
40631,ATM,Travel,Laptop,Delhi,2,67,40,0
43537,POS,Food,Mobile,Delhi,12,38,48,0
20682,POS,Food,Mobile,Pune,13,39,30,0
42869,ATM,Luxury,Desktop,Chennai,14,62,50,0
39888,POS,Electronics,Laptop,Chennai,1,61,46,0
34614,Online,Travel,Laptop,Pune,7,51,33,0
36957,ATM,Food,Desktop,Bangalore,17,55,25,0
43313,ATM,Food,Laptop,Chennai,17,20,3,0
44684,Online,Travel,Laptop,Chennai,8,39,50,0
13016,Online,Luxury,Mobile,Chennai,1,30,10,0
25041,Online,Luxury,Laptop,Hyderabad,21,23,38,0
18038,POS,Luxury,Laptop,Mumbai,2,56,41,0
30685,POS,Electronics,Desktop,Chennai,14,45,37,0
15062,Online,Food,Mobile,Mumbai,16,25,19,0
8668,Online,Luxury,Laptop,Mumbai,17,51,11,0
17022,Online,Luxury,Laptop,Delhi,8,66,42,0
9903,Online,Electronics,Laptop,Delhi,15,63,39,0
39614,POS,Luxury,Desktop,Chennai,14,46,10,0
5416,POS,Travel,Laptop,Pune,19,50,38,0
19214,ATM,Travel,Laptop,Pune,2,33,44,0
17506,Online,Travel,Mobile,Hyderabad,18,34,15,0
31594,ATM,Electronics,Mobile,Bangalore,1,59,19,0
45479,Online,Travel,Mobile,Delhi,21,60,30,0
38710,ATM,Electronics,Laptop,Pune,6,54,22,0
321,ATM,Luxury,Laptop,Bangalore,0,55,37,0
10339,Online,Electronics,Mobile,Bangalore,5,18,22,0
24430,Online,Luxury,Laptop,Bangalore,12,63,40,0
35692,Online,Grocery,Mobile,Delhi,5,34,17,0
15990,ATM,Luxury,Laptop,Chennai,3,50,45,0
30586,ATM,Grocery,Laptop,Bangalore,17,45,42,0
45315,POS,Electronics,Desktop,Chennai,15,45,38,0
37380,Online,Travel,Mobile,Bangalore,17,40,48,0
47385,Online,Grocery,Desktop,Chennai,14,38,36,0
2277,ATM,Grocery,Mobile,Hyderabad,9,60,4,0
37011,ATM,Food,Desktop,Bangalore,3,29,27,0
43574,Online,Electronics,Mobile,Mumbai,17,70,11,0
290,ATM,Luxury,Mobile,Hyderabad,8,52,9,0
37308,POS,Grocery,Desktop,Chennai,5,31,27,0
2512,POS,Electronics,Desktop,Hyderabad,13,66,24,0
49692,ATM,Luxury,Mobile,Delhi,18,58,8,0
37210,POS,Travel,Mobile,Delhi,22,33,49,0
25793,POS,Electronics,Mobile,Pune,23,23,8,0
44536,ATM,Food,Mobile,Mumbai,18,25,21,0
35838,POS,Electronics,Laptop,Hyderabad,13,18,48,0
45343,ATM,Food,Mobile,Bangalore,22,20,38,0
19082,Online,Grocery,Laptop,Delhi,21,64,22,0
34876,Online,Grocery,Mobile,Chennai,23,23,12,0
29397,ATM,Travel,Desktop,Mumbai,21,63,5,0
42641,POS,Electronics,Mobile,Delhi,22,26,47,0
41979,POS,Food,Laptop,Chennai,11,46,2,0
45961,POS,Grocery,Desktop,Bangalore,18,19,21,0
47304,POS,Grocery,Desktop,Hyderabad,11,41,30,0
28569,Online,Luxury,Laptop,Pune,19,22,8,0
22446,ATM,Grocery,Desktop,Chennai,15,36,43,0
10181,Online,Food,Laptop,Bangalore,22,25,31,0
29102,Online,Luxury,Laptop,Mumbai,11,41,8,0
10464,Online,Electronics,Mobile,Mumbai,17,48,31,0
136,Online,Luxury,Desktop,Pune,22,40,35,0
47152,Online,Food,Laptop,Pune,20,53,49,0
7607,POS,Electronics,Laptop,Mumbai,11,43,48,0
35946,POS,Luxury,Laptop,Chennai,16,49,37,0
47264,ATM,Travel,Mobile,Hyderabad,10,67,38,0
19175,Online,Food,Desktop,Bangalore,23,44,24,0
137,POS,Luxury,Mobile,Bangalore,21,22,32,0
41011,Online,Luxury,Mobile,Delhi,16,26,38,0
42994,ATM,Travel,Laptop,Delhi,14,70,8,0
46653,Online,Luxury,Mobile,Delhi,16,23,19,0
35385,POS,Luxury,Desktop,Chennai,6,20,28,0
42868,ATM,Electronics,Mobile,Bangalore,15,44,37,0
42684,POS,Food,Mobile,Bangalore,10,47,3,0
10505,POS,Grocery,Laptop,Mumbai,6,62,24,0
21711,POS,Luxury,Mobile,Hyderabad,16,48,50,0
290,ATM,Travel,Desktop,Pune,11,62,12,0
39637,POS,Grocery,Desktop,Hyderabad,19,41,24,0
5030,POS,Travel,Mobile,Chennai,17,25,44,0
24685,Online,Food,Mobile,Pune,1,41,1,0
25173,Online,Travel,Desktop,Delhi,5,66,36,0
3691,ATM,Electronics,Mobile,Hyderabad,15,60,43,0
18567,ATM,Travel,Mobile,Bangalore,17,63,35,0
34226,POS,Luxury,Laptop,Mumbai,9,34,34,0
19994,Online,Travel,Laptop,Mumbai,23,52,1,0
36723,POS,Grocery,Desktop,Bangalore,20,19,47,0
39616,POS,Grocery,Mobile,Chennai,9,47,40,0
25479,Online,Grocery,Laptop,Bangalore,14,70,38,0
48081,POS,Luxury,Laptop,Mumbai,3,26,7,0
13230,ATM,Food,Mobile,Delhi,4,56,16,0
42128,POS,Electronics,Mobile,Bangalore,16,57,6,0
16689,ATM,Electronics,Desktop,Delhi,12,34,9,0
40232,POS,Food,Desktop,Mumbai,5,25,21,0
5774,ATM,Travel,Desktop,Chennai,23,40,16,0
20954,Online,Food,Mobile,Hyderabad,19,23,50,0
25796,Online,Travel,Mobile,Mumbai,21,60,4,0
26903,ATM,Travel,Laptop,Hyderabad,13,26,33,0
17626,Online,Electronics,Laptop,Pune,7,58,19,0
19328,Online,Grocery,Desktop,Chennai,23,65,9,0
980,ATM,Food,Mobile,Chennai,10,41,33,0
45960,Online,Food,Laptop,Hyderabad,21,31,48,0
14880,ATM,Grocery,Desktop,Pune,9,41,32,0
20156,Online,Luxury,Laptop,Delhi,5,66,12,0
45984,POS,Food,Mobile,Bangalore,3,56,31,0
29130,ATM,Travel,Desktop,Mumbai,16,31,24,0
15108,Online,Grocery,Laptop,Chennai,23,65,33,0
30559,Online,Luxury,Laptop,Bangalore,13,43,21,0
24289,POS,Electronics,Laptop,Delhi,22,49,26,0
15906,Online,Food,Desktop,Hyderabad,7,54,34,0
39711,ATM,Luxury,Laptop,Mumbai,14,34,11,0
26255,ATM,Electronics,Laptop,Hyderabad,12,19,13,0
31950,ATM,Travel,Mobile,Pune,13,61,23,0
21252,POS,Travel,Laptop,Pune,10,40,49,0
19001,ATM,Electronics,Laptop,Bangalore,2,65,37,0
11962,POS,Food,Laptop,Bangalore,21,68,42,0
18533,POS,Food,Laptop,Hyderabad,3,20,7,0
46280,POS,Travel,Desktop,Pune,4,29,31,0
19600,ATM,Travel,Laptop,Chennai,18,23,28,0
10494,Online,Luxury,Desktop,Hyderabad,23,31,28,0
34738,POS,Food,Laptop,Chennai,7,19,28,0
10019,POS,Travel,Mobile,Chennai,10,21,47,0
33439,POS,Luxury,Laptop,Chennai,10,51,49,0
18801,ATM,Electronics,Desktop,Delhi,7,27,5,0
32640,Online,Grocery,Laptop,Delhi,22,59,45,0
29911,POS,Travel,Desktop,Hyderabad,2,48,34,0
11340,POS,Travel,Laptop,Pune,13,67,34,0
47458,Online,Food,Desktop,Pune,5,64,48,0
24236,POS,Luxury,Mobile,Hyderabad,21,30,38,0
44199,POS,Luxury,Mobile,Pune,19,38,46,0
37214,Online,Luxury,Desktop,Chennai,15,56,46,0
3249,Online,Electronics,Laptop,Pune,3,33,24,0
37536,ATM,Food,Laptop,Mumbai,3,39,41,0
42784,POS,Electronics,Desktop,Chennai,11,19,49,0
32503,ATM,Food,Mobile,Bangalore,8,53,15,0
5352,Online,Food,Laptop,Delhi,15,58,23,0
47313,ATM,Grocery,Desktop,Delhi,2,21,15,0
27242,POS,Grocery,Desktop,Chennai,0,36,23,0
13672,ATM,Luxury,Desktop,Pune,10,54,48,0
1481,POS,Travel,Desktop,Delhi,11,54,12,0
27995,POS,Electronics,Laptop,Pune,6,70,34,0
12486,Online,Travel,Laptop,Bangalore,2,45,11,0
22475,POS,Electronics,Desktop,Chennai,20,27,48,0
26872,POS,Luxury,Desktop,Bangalore,7,50,10,0
21559,Online,Grocery,Desktop,Pune,4,25,11,0
28841,ATM,Luxury,Mobile,Hyderabad,10,31,18,0
38385,POS,Grocery,Laptop,Delhi,22,30,11,0
3924,Online,Luxury,Mobile,Hyderabad,7,63,36,0
21692,POS,Grocery,Desktop,Delhi,18,31,4,0
26805,Online,Grocery,Mobile,Bangalore,0,49,28,0
26836,ATM,Food,Laptop,Chennai,3,22,3,0
27177,ATM,Food,Mobile,Pune,18,18,1,0
8424,POS,Grocery,Desktop,Mumbai,18,47,40,0
7258,POS,Travel,Desktop,Hyderabad,6,29,25,0
21447,ATM,Grocery,Laptop,Pune,9,34,42,0
49888,ATM,Food,Laptop,Hyderabad,19,20,26,0
23353,POS,Food,Desktop,Mumbai,22,26,40,0
18196,POS,Grocery,Mobile,Mumbai,11,57,27,0
34669,Online,Electronics,Desktop,Mumbai,7,31,48,0
32096,POS,Grocery,Desktop,Pune,18,24,5,0
22838,Online,Travel,Laptop,Bangalore,23,47,13,0
47672,Online,Luxury,Laptop,Delhi,15,46,28,0
8893,ATM,Food,Laptop,Bangalore,1,29,46,0
25970,ATM,Travel,Mobile,Pune,9,59,12,0
18049,ATM,Luxury,Laptop,Bangalore,23,26,27,0
43680,Online,Food,Laptop,Hyderabad,23,60,32,1
45893,ATM,Grocery,Mobile,Pune,3,55,32,0
4553,ATM,Luxury,Laptop,Mumbai,11,30,19,0
5005,POS,Food,Laptop,Chennai,12,70,8,0
18489,POS,Travel,Mobile,Bangalore,12,31,29,0
47382,Online,Grocery,Desktop,Mumbai,10,62,2,0
9521,Online,Electronics,Mobile,Bangalore,19,41,14,0
21428,Online,Luxury,Desktop,Pune,16,51,3,0
37696,POS,Electronics,Desktop,Chennai,3,24,7,0
9448,Online,Food,Mobile,Pune,19,19,42,0
36599,POS,Food,Laptop,Mumbai,18,40,6,0
23433,Online,Grocery,Mobile,Mumbai,22,66,15,0
38919,Online,Electronics,Desktop,Chennai,3,58,50,0
31687,Online,Travel,Laptop,Pune,4,38,40,0
20555,ATM,Luxury,Desktop,Pune,22,33,37,0
12211,ATM,Travel,Mobile,Bangalore,0,58,17,0
46586,POS,Luxury,Desktop,Pune,14,68,42,0
29111,POS,Luxury,Mobile,Delhi,2,69,37,0
9350,POS,Food,Desktop,Chennai,17,59,33,0
46905,ATM,Travel,Laptop,Pune,1,50,14,0
28791,Online,Travel,Mobile,Pune,12,36,1,0
39122,ATM,Grocery,Mobile,Hyderabad,21,49,9,0
33354,POS,Luxury,Laptop,Mumbai,17,67,22,0
22594,POS,Travel,Mobile,Pune,9,19,50,0
1904,ATM,Electronics,Mobile,Bangalore,22,28,45,0
4814,Online,Luxury,Mobile,Mumbai,23,69,35,0
1797,ATM,Luxury,Laptop,Delhi,11,60,22,0
48450,ATM,Travel,Desktop,Pune,11,20,29,0
14545,ATM,Electronics,Mobile,Chennai,12,22,16,0
30347,ATM,Travel,Laptop,Mumbai,7,41,13,0
33114,Online,Travel,Laptop,Bangalore,23,52,12,0
35895,POS,Electronics,Mobile,Chennai,13,52,49,0
30119,Online,Food,Desktop,Bangalore,1,60,11,0
44528,POS,Food,Mobile,Bangalore,20,37,17,0
3530,ATM,Electronics,Desktop,Pune,20,34,2,0
34840,POS,Luxury,Laptop,Bangalore,14,45,16,0
36456,ATM,Travel,Laptop,Bangalore,8,36,49,0
33707,ATM,Food,Desktop,Mumbai,14,67,17,0
43622,Online,Travel,Laptop,Hyderabad,16,35,32,0
21759,Online,Grocery,Desktop,Mumbai,3,36,22,0
30193,POS,Grocery,Desktop,Chennai,18,60,4,0
34626,POS,Grocery,Mobile,Pune,7,62,45,0
12127,POS,Food,Laptop,Delhi,22,37,24,0
36644,ATM,Travel,Laptop,Delhi,4,28,12,0
11389,ATM,Food,Laptop,Pune,21,39,38,0
46715,ATM,Grocery,Mobile,Mumbai,0,31,26,0
3852,ATM,Electronics,Mobile,Hyderabad,22,56,34,0
24269,POS,Food,Mobile,Bangalore,17,34,1,0
21426,POS,Luxury,Mobile,Chennai,1,60,42,0
16554,POS,Electronics,Desktop,Pune,19,68,28,0
39200,ATM,Food,Laptop,Delhi,15,18,3,0
38215,POS,Food,Laptop,Bangalore,21,23,23,0
27536,POS,Grocery,Mobile,Bangalore,1,53,39,0
25449,Online,Electronics,Mobile,Pune,3,29,24,0
48721,Online,Food,Desktop,Pune,17,26,31,0
5887,Online,Luxury,Desktop,Chennai,22,48,1,0
32020,POS,Luxury,Desktop,Mumbai,4,27,24,0
49053,POS,Luxury,Desktop,Pune,20,29,34,0
30347,Online,Luxury,Desktop,Hyderabad,20,54,22,0
7630,Online,Food,Mobile,Mumbai,18,57,23,0
21290,ATM,Food,Desktop,Bangalore,2,65,8,0
20977,Online,Electronics,Mobile,Pune,18,35,3,0
45759,ATM,Travel,Laptop,Mumbai,16,41,16,0
36246,ATM,Food,Laptop,Delhi,6,28,40,0
48849,Online,Grocery,Mobile,Pune,5,41,14,0
33021,ATM,Food,Desktop,Pune,6,59,2,0
48108,Online,Grocery,Mobile,Delhi,13,18,15,0
36786,POS,Food,Mobile,Pune,21,50,26,0
28876,Online,Food,Mobile,Pune,3,34,34,0
